Ticket ID,Customer Age,Customer Gender,Product Purchased,Date of Purchase,Ticket Type,Ticket Status,Ticket Priority,Ticket Channel,First Response Time,Time to Resolution,Customer Satisfaction Rating,Time Since Purchase
1,-0.7863117997586148,2,16,2021-03-22,4,2,0,3,2023-06-01 12:15:36,2023-06-01 11:17:48,0,-0.48426388321657404
2,-0.13251231694915946,0,21,2021-05-22,4,2,0,0,2023-06-01 16:45:38,2023-06-01 11:17:48,0,-0.836760178177194
3,0.25976737273651374,2,10,2020-07-14,4,0,2,3,2023-06-01 11:14:38,2023-06-01 18:05:38,0,0.9661716911295833
4,-1.1132115411633425,0,25,2020-11-13,0,0,2,3,2023-06-01 07:29:40,2023-06-01 01:57:40,0,0.2611791012083435
5,1.501986390074479,0,5,2020-02-04,0,0,2,1,2023-06-01 00:12:42,2023-06-01 19:53:42,1,1.8965307647141703
6,0.5866671141412414,1,25,2020-07-28,1,1,2,3,,2023-06-01 11:17:48,0,0.006919478613797977
7,-1.309351386006179,2,26,2020-02-23,2,1,0,3,,2023-06-01 11:17:48,1,0.006919478613797977
8,-1.3747313342871246,1,32,2020-08-09,3,1,0,3,,2023-06-01 11:17:48,0,0.006919478613797977
9,1.04432675210786,2,13,2020-07-16,4,2,2,3,2023-06-01 10:32:47,2023-06-01 11:17:48,1,0.954614435557104
10,-1.1132115411633425,1,11,2020-03-06,3,2,0,2,2023-06-01 09:25:48,2023-06-01 11:17:48,1,1.7173933033407405
11,0.25976737273651374,1,30,2021-01-19,1,0,1,2,2023-06-01 17:46:49,2023-05-31 23:51:49,1,-0.12598896046971444
12,0.4559072175793503,1,27,2021-10-24,2,0,1,0,2023-06-01 12:05:51,2023-06-01 09:27:51,0,-1.732447485044343
13,-1.1132115411633425,2,31,2021-05-26,4,2,2,0,2023-06-01 19:03:53,2023-06-01 11:17:48,1,-0.8598746893221526
14,1.3712264935125877,2,28,2020-07-13,4,2,2,0,2023-06-01 20:34:54,2023-06-01 11:17:48,1,0.971950318915823
15,0.25976737273651374,0,38,2020-02-29,0,0,1,0,2023-06-01 06:22:55,2023-05-31 23:08:55,0,1.7520650700581786
16,-1.7016310756918522,2,15,2021-06-24,0,2,1,3,2023-06-01 15:09:57,2023-06-01 11:17:48,0,-1.027454895123103
17,1.2404665969506967,2,40,2021-10-13,2,0,0,0,2023-06-01 19:46:59,2023-06-01 15:58:59,0,-1.6688825793957065
18,0.782806958984078,0,27,2020-09-07,2,2,1,0,2023-06-01 21:05:01,2023-06-01 11:17:48,1,0.6483471628864015
19,-1.6362511274109066,1,22,2021-09-23,2,1,1,3,,2023-06-01 11:17:48,1,0.006919478613797977
20,-0.3286521617919961,0,9,2021-03-08,3,0,2,0,2023-06-01 00:46:04,2023-06-01 20:29:04,0,-0.4033630942092187
21,-1.047831592882397,2,19,2021-05-31,3,2,1,0,2023-06-01 05:08:05,2023-06-01 11:17:48,1,-0.888767828253351
22,1.4366064417935334,1,13,2020-02-04,1,2,0,3,2023-05-31 23:57:07,2023-06-01 11:17:48,1,1.8907521369279308
23,0.6520470624221869,0,40,2020-02-11,1,1,3,3,,2023-06-01 11:17:48,0,0.006919478613797977
24,1.2404665969506967,0,31,2021-08-06,4,2,2,3,2023-06-01 09:06:09,2023-06-01 11:17:48,0,-1.275935889931409
25,-1.6362511274109066,1,2,2021-05-25,2,1,0,1,,2023-06-01 11:17:48,0,0.006919478613797977
26,-0.5901719549157782,2,19,2021-07-05,2,2,3,3,2023-06-01 19:02:12,2023-06-01 11:17:48,0,-1.0910198007717395
27,-1.4401112825680702,2,23,2020-05-02,0,2,2,3,2023-06-01 20:02:13,2023-06-01 11:17:48,0,1.3880115195250793
28,-1.5054912308490156,2,12,2020-10-12,1,1,1,2,,2023-06-01 11:17:48,0,0.006919478613797977
29,-0.9170716963205059,2,12,2020-06-10,4,0,0,2,2023-05-31 23:17:17,2023-06-01 06:03:17,0,1.1568664080754925
30,1.501986390074479,1,40,2020-12-26,1,0,3,2,2023-06-01 00:54:17,2023-06-01 18:23:17,0,0.012698106400037648
31,-1.4401112825680702,2,0,2021-01-28,0,1,2,1,,2023-06-01 11:17:48,0,0.006919478613797977
32,1.04432675210786,1,15,2021-12-20,4,0,3,3,2023-06-01 06:42:21,2023-06-01 07:16:21,1,-2.0618292688600044
33,-0.5247920066348326,0,12,2021-12-07,0,2,3,0,2023-06-01 19:36:21,2023-06-01 11:17:48,1,-1.9867071076388885
34,0.3905272692984048,1,5,2021-12-09,3,0,0,3,2023-06-01 02:01:23,2023-06-01 18:25:23,0,-1.9982643632113677
35,-1.1132115411633425,1,27,2021-04-09,3,2,2,0,2023-06-01 20:50:24,2023-06-01 11:17:48,0,-0.5882791833688881
36,-1.309351386006179,2,16,2020-10-13,1,0,1,0,2023-06-01 07:56:25,2023-06-01 00:14:25,1,0.44031656258177326
37,1.3712264935125877,0,9,2020-03-14,3,2,3,1,2023-06-01 15:51:28,2023-06-01 11:17:48,1,1.6711642810508232
38,-0.3286521617919961,0,2,2020-09-02,2,1,3,0,,2023-06-01 11:17:48,0,0.006919478613797977
39,-1.6362511274109066,1,18,2021-09-10,4,0,0,2,2023-06-01 18:45:30,2023-05-31 21:53:30,1,-1.4781878624497975
40,-0.7209318514776692,2,1,2021-10-22,2,2,3,3,2023-05-31 22:19:32,2023-06-01 11:17:48,0,-1.7266688572581033
41,-1.6362511274109066,0,33,2021-02-07,2,2,2,2,2023-06-01 09:11:33,2023-06-01 11:17:48,1,-0.2357828884082682
42,-0.5901719549157782,1,10,2021-06-09,0,0,0,0,2023-06-01 20:25:34,2023-06-01 14:43:34,0,-0.940775478329508
43,-1.4401112825680702,1,35,2020-10-10,2,2,3,2,2023-06-01 18:41:35,2023-06-01 11:17:48,0,0.4576524459404923
44,0.6520470624221869,0,41,2020-01-16,4,1,2,1,,2023-06-01 11:17:48,0,0.006919478613797977
45,-0.6555519031967237,2,19,2021-09-25,3,0,0,1,2023-06-01 05:58:39,2023-06-01 03:19:39,1,-1.5648672792433924
46,1.3712264935125877,0,21,2021-02-01,2,1,2,0,,2023-06-01 11:17:48,0,0.006919478613797977
47,0.3905272692984048,0,31,2020-10-15,3,0,1,2,2023-06-01 03:43:43,2023-06-01 09:24:43,0,0.42875930700929393
48,-1.1132115411633425,0,16,2020-07-29,4,0,3,3,2023-06-01 07:16:45,2023-06-01 05:59:45,0,0.8794922743359883
49,-0.7863117997586148,2,20,2021-02-15,1,1,1,0,,2023-06-01 11:17:48,0,0.006919478613797977
